episode,avg_reward
0,1
1,2
2,2
3,2
4,0
5,0
6,1
7,0
8,0
9,0
10,0
11,0
12,1
13,0
14,0
15,1
16,0
17,2
18,2
19,52
20,2
21,1
22,2
23,2
24,1
25,1
26,1
27,2
28,52
29,1
30,52
31,51
32,0
33,52
34,2
35,2
36,2
37,2
38,52
39,52
40,1
41,51
42,0
43,52
44,1
45,1
46,1
47,51
48,0
49,1
50,2
51,52
52,1
53,51
54,0
55,1
56,1
57,51
58,0
59,1
60,2
61,51
62,0
63,52
64,1
65,51
66,0
67,1
68,1
69,51
70,0
71,1
72,1
73,1
74,1
75,51
76,0
77,1
78,1
79,2
80,1
81,1
82,1
83,2
84,2
85,2
86,1
87,1
88,1
89,1
90,1
91,51
92,0
93,1
94,1
95,1
96,1
97,2
98,1
99,2
100,2
101,52
102,52
103,2
104,51
105,0
106,1
107,1
108,1
109,1
110,2
111,1
112,51
113,0
114,2
115,1
116,1
117,51
118,0
119,1
120,1
121,2
122,1
123,1
124,2
125,1
126,1
127,1
128,2
129,1
130,1
131,1
132,1
133,1
134,1
135,2
136,1
137,51
138,0
139,51
140,0
141,1
142,51
143,0
144,1
145,2
146,1
147,2
148,2
149,51
150,0
151,1
152,51
153,0
154,1
155,1
156,1
157,1
158,51
159,0
160,1
161,2
162,1
163,51
164,0
165,51
166,0
167,1
168,1
169,51
170,0
171,2
172,52
173,1
174,1
175,51
176,0
177,1
178,1
179,1
180,51
181,0
182,1
183,1
184,1
185,51
186,0
187,51
188,0
189,2
190,1
191,51
192,0
193,1
194,2
195,1
196,51
197,0
198,51
199,0
200,1
201,1
202,1
203,1
204,51
205,0
206,1
207,1
208,1
209,52
210,1
211,1
212,2
213,52
214,1
215,2
216,2
217,51
218,0
219,1
220,1
221,1
222,1
223,51
224,0
225,51
226,0
227,51
228,0
229,1
230,52
231,2
232,51
233,0
234,1
235,52
236,51
237,0
238,1
239,51
240,0
241,2
242,1
243,51
244,0
245,1
246,51
247,0
248,51
249,0
250,1
251,51
252,0
253,2
254,2
255,51
256,0
257,1
258,1
259,1
260,1
261,51
262,0
263,51
264,0
265,51
266,0
267,51
268,0
269,51
270,0
271,52
272,51
273,0
274,51
275,0
276,1
277,1
278,1
279,1
280,1
281,51
282,0
283,1
284,52
285,51
286,0
287,51
288,0
289,1
290,52
291,2
292,51
293,0
294,51
295,0
296,51
297,0
298,51
299,0
300,1
301,2
302,1
303,51
304,0
305,2
306,51
307,0
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,51
316,0
317,52
318,1
319,1
320,1
321,1
322,51
323,0
324,2
325,51
326,0
327,1
328,1
329,1
330,1
331,51
332,0
333,1
334,1
335,2
336,1
337,51
338,0
339,1
340,1
341,51
342,0
343,51
344,0
345,1
346,1
347,1
348,1
349,1
350,51
351,0
352,1
353,51
354,0
355,52
356,1
357,1
358,51
359,0
360,52
361,52
362,1
363,2
364,51
365,0
366,1
367,2
368,51
369,0
370,2
371,1
372,1
373,1
374,1
375,1
376,1
377,2
378,2
379,52
380,1
381,1
382,51
383,0
384,1
385,1
386,1
387,2
388,1
389,1
390,2
391,1
392,1
393,1
394,51
395,0
396,1
397,51
398,0
399,1
400,51
401,0
402,1
403,2
404,1
405,51
406,0
407,51
408,0
409,1
410,1
411,2
412,1
413,51
414,0
415,51
416,0
417,1
418,1
419,51
420,0
421,1
422,52
423,1
424,51
425,0
426,2
427,1
428,1
429,51
430,0
431,2
432,2
433,1
434,2
435,52
436,51
437,0
438,51
439,0
440,1
441,1
442,1
443,51
444,0
445,1
446,1
447,1
448,1
449,1
450,51
451,0
452,1
453,1
454,51
455,0
456,51
457,0
458,1
459,2
460,51
461,0
462,1
463,52
464,52
465,51
466,0
467,1
468,2
469,2
470,1
471,1
472,1
473,2
474,2
475,1
476,2
477,52
478,1
479,1
480,1
481,51
482,0
483,1
484,51
485,0
486,1
487,2
488,1
489,2
490,1
491,2
492,1
493,1
494,1
495,1
496,1
497,1
498,2
499,51
